VERNUM	Task	Concept	Var01	Var02	Var03	Var04	Var05	Var06	Var07
1	1	1	18	4	10	11	1	7	6103
1	1	2	5	6	8	8	2	3	8201
1	1	3	9	1	2	4	3	0	1302
1	1	4	22	2	6	1	4	0	3402
1	1	5	20	5	1	5	4	6	7401
1	2	1	15	5	11	3	1	1	7103
1	2	2	12	1	5	14	5	0	1501
1	2	3	6	7	9	13	5	4	9503
1	2	4	13	4	12	7	2	8	6201
1	2	5	11	3	3	10	3	2	5302
1	3	1	19	6	13	15	1	5	8102
1	3	2	7	7	2	9	3	1	9302
1	3	3	12	2	7	6	4	0	4403
1	3	4	4	1	1	17	2	0	1203
1	3	5	3	3	4	2	5	7	5501
1	4	1	10	3	9	6	2	2	5201
1	4	2	17	6	11	17	5	4	8503
1	4	3	2	5	5	11	3	5	7303
1	4	4	16	4	6	16	1	3	6102
1	4	5	1	2	8	12	4	0	4401
1	5	1	14	7	4	4	2	8	9202
1	5	2	11	2	12	8	3	0	4301
1	5	3	8	4	3	9	1	5	6101
1	5	4	1	6	7	3	4	6	8403
1	5	5	15	3	10	15	5	7	5502
1	6	1	21	2	3	6	4	0	2402
1	6	2	7	4	11	5	3	2	6303
1	6	3	3	5	8	3	1	6	7102
1	6	4	6	6	9	3	2	7	8201
1	6	5	5	1	10	7	2	0	1203
1	7	1	4	3	7	7	4	2	5403
1	7	2	11	4	11	5	5	4	6502
1	7	3	14	1	10	2	3	0	1301
1	7	4	13	7	9	14	2	1	9203
1	7	5	7	5	13	10	1	8	7102
1	8	1	7	2	5	1	4	0	4401
1	8	2	5	7	1	12	5	3	9502
1	8	3	1	5	13	13	1	6	7103
1	8	4	8	6	6	5	2	1	8202
1	8	5	20	1	12	16	3	0	1303
1	9	1	18	1	13	9	5	0	1502
1	9	2	3	5	8	3	2	3	7201
1	9	3	10	6	3	11	3	2	8302
1	9	4	18	2	2	17	4	0	4401
1	9	5	19	4	4	6	1	6	6103
1	10	1	12	5	9	15	4	4	7402
1	10	2	6	2	4	10	4	0	4403
1	10	3	16	7	7	12	1	7	9103
1	10	4	9	3	8	1	5	8	5501
1	10	5	6	1	5	13	3	0	1301
1	11	1	5	4	5	5	2	6	6202
1	11	2	17	1	11	5	4	0	1403
1	11	3	18	6	6	2	2	5	8202
1	11	4	4	5	5	3	4	2	7401
1	11	5	15	7	12	13	3	8	9301
1	12	1	12	7	1	4	1	7	9103
1	12	2	17	3	2	2	3	2	5302
1	12	3	8	5	12	16	2	3	7202
1	12	4	2	6	10	8	2	5	8201
1	12	5	7	4	6	14	5	8	6503
1	13	1	17	2	3	1	4	0	4402
1	13	2	10	1	9	3	1	0	1101
1	13	3	20	4	8	12	2	1	6203
