uuid	weight_phase3New
w8mhrn3m02932ywn	1.49126086
qxjfexncd0nyagq8	1.0846385
2hr7r33n1hk1373z	0.16301551
svz8nu8829k6mjhu	1.0846385
9jgyfbhvjsuzcvyf	0.90557237
fhy2bhnwpazuqwbs	1.0846385
nyz71uam34mfegym	1.1306114
m8hvyu1grasb8dy1	1.0846385
b39dabrhu1qyk5jg	1.46728513
w16tx18mvw588w36	0.14700448
85xrp2c59jae1acy	0.84624807
mxnujcpr0yzwhpsv	3.38984555
3ys6cvr358j9m8jd	1.0846385
bpyk0kz5r4d0db56	4.06014705
qakhrezaa8kp2zyw	1.3462315
0td1y0gytyk5etxk	1.33297307
fd8ps812wt6223kw	1.0846385
7v3emdvrn4zz1t4b	1.40329215
rwbnw7j83sn67yfc	1.1306114
1bhe7r90nkqevx08	0.19524988
hcg903um43wzcqak	0.16301551
j6x7c5mrecgxe3ah	1.3462315
zfnvyrcc9mp9y1ww	1.0846385
xkh6m9z3cywwwp2b	0.19524988
fe60qs4k61v7fup8	1.0846385
upcd2cp3cg6wmh3p	0.0239798
gkxrjmke2tvygd1v	1.41804946
0a3wztf4ycx43dmq	1.49127645
sve3ff32bphhm4en	1.1306114
dyvwc0ndvqqaka66	0.19524988
51xcqh8b69q5aff9	1.0846385
85v0xuw78c1zxq3j	0.16301551
3qbet7w1hq4zaf3q	1.69845182
s711uk0y80mm5u01	0.12273509
u7jz79uvtmm81ped	0.00920638
etwsxfs4sb4pk8ad	0.14700448
xjpa8gzxpdqek16z	0.85124223
jdvr4dbsb2u0bb9b	1.01358353
