13.item.4x10.max.diff.design						
	Version	Question	Option.1	Option.2	Option.3	Option.4
1	1.0	1.0	9.0	8.0	7.0	3.0
2	1.0	2.0	1.0	11.0	6.0	9.0
3	1.0	3.0	5.0	4.0	2.0	9.0
4	1.0	4.0	13.0	6.0	3.0	5.0
5	1.0	5.0	13.0	2.0	1.0	7.0
6	1.0	6.0	4.0	12.0	13.0	8.0
7	1.0	7.0	12.0	5.0	1.0	10.0
8	1.0	8.0	12.0	3.0	2.0	11.0
9	1.0	9.0	4.0	7.0	11.0	10.0
10	1.0	10.0	6.0	8.0	2.0	10.0
11	2.0	1.0	7.0	11.0	9.0	5.0
12	2.0	2.0	8.0	6.0	2.0	11.0
13	2.0	3.0	4.0	13.0	3.0	11.0
14	2.0	4.0	9.0	6.0	12.0	13.0
15	2.0	5.0	12.0	2.0	5.0	4.0
16	2.0	6.0	12.0	3.0	10.0	7.0
17	2.0	7.0	10.0	2.0	13.0	1.0
18	2.0	8.0	9.0	10.0	8.0	4.0
19	2.0	9.0	1.0	8.0	3.0	5.0
20	2.0	10.0	4.0	6.0	7.0	1.0
21	3.0	1.0	9.0	7.0	5.0	2.0
22	3.0	2.0	5.0	4.0	1.0	11.0
23	3.0	3.0	8.0	6.0	5.0	10.0
24	3.0	4.0	7.0	1.0	8.0	12.0
25	3.0	5.0	11.0	12.0	2.0	6.0
26	3.0	6.0	9.0	10.0	13.0	12.0
27	3.0	7.0	13.0	3.0	8.0	11.0
28	3.0	8.0	4.0	6.0	7.0	13.0
29	3.0	9.0	2.0	4.0	3.0	10.0
30	3.0	10.0	3.0	1.0	6.0	9.0
31	4.0	1.0	8.0	7.0	9.0	1.0
32	4.0	2.0	9.0	10.0	6.0	2.0
33	4.0	3.0	3.0	11.0	9.0	4.0
34	4.0	4.0	13.0	2.0	3.0	7.0
35	4.0	5.0	10.0	13.0	1.0	11.0
36	4.0	6.0	13.0	5.0	4.0	8.0
37	4.0	7.0	12.0	5.0	10.0	3.0
38	4.0	8.0	5.0	7.0	6.0	11.0
39	4.0	9.0	4.0	12.0	1.0	6.0
40	4.0	10.0	8.0	12.0	11.0	2.0
41	5.0	1.0	1.0	10.0	2.0	5.0
42	5.0	2.0	9.0	4.0	3.0	1.0
43	5.0	3.0	1.0	12.0	8.0	11.0
44	5.0	4.0	12.0	5.0	9.0	13.0
45	5.0	5.0	4.0	13.0	2.0	11.0
46	5.0	6.0	8.0	10.0	7.0	13.0
47	5.0	7.0	7.0	4.0	6.0	12.0
