Version	Set	Item1	Item2	Item3	Item4	Item5
1	1	22	5	15	12	7
1	2	2	4	6	9	17
1	3	13	20	21	26	24
1	4	10	23	18	14	3
1	5	19	16	4	11	5
1	6	27	25	28	1	8
1	7	6	18	24	16	12
1	8	15	13	2	14	25
1	9	26	9	23	11	28
1	10	1	17	22	3	21
1	11	20	8	19	7	10
1	12	14	11	12	21	27
1	13	8	15	26	4	18
1	14	9	19	3	25	16
1	15	17	28	10	5	24
1	16	7	6	13	23	1
1	17	18	2	27	22	20
2	1	28	14	6	4	22
2	2	3	27	11	24	15
2	3	12	26	1	10	2
2	4	25	21	20	5	23
2	5	16	7	14	17	8
2	6	19	28	9	13	18
2	7	5	26	3	27	6
2	8	24	1	25	7	4
2	9	20	12	17	15	9
2	10	23	22	16	10	13
2	11	18	21	8	2	11
2	12	25	22	17	19	26
2	13	21	16	28	6	15
2	14	1	9	5	8	14
2	15	4	3	13	20	12
2	16	11	10	7	18	27
2	17	23	24	15	2	19
3	1	11	6	19	20	14
3	2	8	3	24	28	22
3	3	21	1	9	15	10
3	4	12	19	27	17	23
3	5	13	18	6	25	5
3	6	15	4	20	28	23
3	7	3	2	26	16	7
3	8	27	17	4	13	11
3	9	14	5	2	24	26
3	10	7	28	21	19	12
3	11	10	11	25	22	9
3	12	16	20	1	18	17
3	13	2	8	5	13	28
3	14	4	23	14	3	21
3	15	9	24	16	27	7
3	16	22	15	18	26	1
3	17	6	12	10	8	25
4	1	24	21	18	17	15
4	2	19	1	11	3	6
4	3	22	14	12	16	13
4	4	28	20	7	25	2
4	5	27	10	5	21	4
4	6	26	8	9	23	17
4	7	14	24	4	1	19
4	8	28	25	26	12	11
4	9	10	2	13	9	3
4	10	5	7	23	18	16
4	11	8	27	22	6	20
4	12	15	13	19	26	21
4	13	9	3	28	14	18
4	14	24	12	8	11	23
4	15	16	27	2	1	20
4	16	4	25	22	5	15
4	17	17	7	14	6	10
5	1	25	18	17	27	2
5	2	26	9	7	20	4
5	3	2	21	23	22	6
5	4	14	19	27	15	8
5	5	1	17	11	5	13
5	6	18	25	12	4	3
5	7	16	22	21	8	9
5	8	3	5	20	26	14
5	9	13	23	27	1	28
5	10	6	26	15	11	16
5	11	7	24	13	21	25
5	12	17	16	3	10	28
5	13	5	6	24	12	9
5	14	23	14	25	19	18
5	15	11	15	10	28	7
5	16	12	4	8	2	1
5	17	20	10	22	24	19
6	1	23	15	7	12	3
6	2	22	11	2	19	5
6	3	27	1	10	9	26
6	4	21	18	24	28	6
6	5	17	16	15	14	25
6	6	20	8	3	11	13
6	7	18	19	1	7	5
6	8	4	2	16	23	10
6	9	21	14	9	27	12
6	10	15	13	8	6	17
6	11	28	20	14	22	7
6	12	26	10	25	8	24
6	13	19	4	16	13	27
6	14	2	6	1	3	24
6	15	5	17	28	12	20
6	16	9	11	23	25	22
6	17	8	26	4	18	21
7	1	24	1	20	16	14
7	2	2	9	5	15	19
7	3	3	7	17	21	22
7	4	6	28	26	4	27
7	5	18	10	12	14	13
7	6	25	3	5	23	8
7	7	10	21	19	20	6
7	8	26	14	11	7	2
7	9	23	27	15	17	1
7	10	28	12	8	19	16
7	11	9	13	24	22	4
7	12	1	25	21	2	28
7	13	13	22	18	26	20
7	14	3	15	4	10	11
7	15	7	5	27	9	8
7	16	12	23	17	24	26
7	17	11	18	6	25	16
8	1	5	26	21	16	10
8	2	11	3	19	24	27
8	3	1	22	12	17	2
8	4	7	9	23	20	6
8	5	14	28	13	5	15
8	6	24	22	10	27	25
8	7	4	7	13	8	18
8	8	16	20	28	1	11
8	9	12	19	3	2	26
8	10	17	4	11	21	14
8	11	20	9	25	15	18
8	12	8	6	2	14	23
8	13	13	17	26	7	19
8	14	21	16	9	3	12
8	15	6	5	1	10	4
8	16	22	27	18	23	28
8	17	15	25	16	8	24
9	1	28	24	14	9	17
9	2	10	13	23	19	1
9	3	7	4	12	6	22
9	4	25	27	3	20	5
9	5	21	11	18	2	9
9	6	26	23	16	4	24
9	7	15	8	20	10	12
9	8	19	2	28	18	17
9	9	14	21	25	26	1
9	10	8	17	11	5	22
9	11	3	15	6	27	13
9	12	25	2	7	16	4
9	13	11	12	5	23	21
9	14	6	19	8	9	1
9	15	10	14	22	18	3
9	16	27	26	7	28	15
9	17	16	5	24	13	20
10	1	22	16	2	15	12
10	2	9	13	10	28	4
10	3	21	3	1	7	8
10	4	12	25	27	19	14
10	5	4	23	20	17	2
10	6	24	18	15	8	5
10	7	17	6	13	11	25
10	8	19	1	22	21	15
10	9	5	28	16	3	23
10	10	2	7	11	24	10
