Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,21,4,16,10,5
1,2,6,14,25,11,7
1,3,19,28,23,8,12
1,4,2,17,20,9,15
1,5,18,13,1,24,22
1,6,26,3,27,14,21
1,7,15,8,10,7,18
1,8,23,1,4,12,17
1,9,24,16,6,26,20
1,10,25,27,2,22,28
1,11,9,19,11,13,3
1,12,8,2,14,1,5
1,13,20,24,7,23,21
1,14,16,18,28,17,11
1,15,5,25,26,15,19
1,16,10,6,9,27,4
1,17,22,5,12,3,13
1,18,27,7,17,19,24
2,1,1,10,22,20,19
2,2,11,21,27,2,12
2,3,28,15,14,24,10
2,4,26,22,17,4,8
2,5,3,20,18,5,27
2,6,23,25,13,9,16
2,7,4,28,3,7,1
2,8,18,23,19,6,2
2,9,25,12,24,8,9
2,10,17,7,5,21,16
2,11,13,26,11,15,27
2,12,19,4,21,18,25
2,13,10,23,2,3,26
2,14,12,22,15,16,14
2,15,1,9,8,21,6
2,16,13,14,4,28,20
2,17,7,11,24,5,2
2,18,14,17,3,25,6
3,1,3,27,8,16,23
3,2,11,10,25,20,1
3,3,28,6,21,22,15
3,4,4,24,12,14,5
3,5,27,23,22,1,7
3,6,8,20,9,14,18
3,7,12,13,6,17,10
3,8,14,19,23,11,16
3,9,5,9,26,28,22
3,10,21,19,15,24,3
3,11,16,18,17,2,25
3,12,15,8,4,13,11
3,13,7,12,18,26,9
3,14,6,15,1,5,23
3,15,24,2,13,4,3
3,16,20,27,28,25,12
3,17,17,21,7,10,13
3,18,2,26,16,19,1
4,1,11,22,10,28,18
4,2,8,5,19,27,6
4,3,20,15,23,17,3
4,4,4,16,25,9,24
4,5,10,7,8,2,12
4,6,13,21,26,1,14
4,7,22,2,20,6,4
4,8,26,9,5,11,17
4,9,3,1,16,7,28
4,10,12,18,27,13,15
4,11,25,24,22,23,21
4,12,9,14,7,19,20
4,13,16,3,15,12,8
4,14,24,11,6,18,26
4,15,1,17,14,27,10
4,16,2,28,13,23,25
4,17,21,11,19,4,22
4,18,5,10,13,16,20
5,1,5,4,28,18,23
5,2,6,25,7,8,13
5,3,22,3,9,10,19
5,4,28,12,21,20,26
5,5,11,8,1,17,24
5,6,14,27,16,22,2
5,7,15,1,3,25,18
5,8,17,6,12,19,28
5,9,7,26,2,15,4
5,10,27,24,10,23,9
5,11,6,20,11,16,7
5,12,9,21,18,2,14
5,13,23,5,25,26,10
5,14,13,8,22,21,17
