Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,12,19,11,13,5
1,2,1,15,6,21,9
1,3,4,22,23,25,3
1,4,16,14,24,8,18
1,5,2,17,26,10,7
1,6,22,6,19,18,20
1,7,24,21,23,7,12
1,8,11,1,3,14,10
1,9,13,4,8,15,2
1,10,17,25,20,5,9
1,11,26,24,14,19,4
1,12,20,16,21,2,11
1,13,5,8,7,1,22
1,14,9,18,10,23,12
1,15,6,13,16,3,26
1,16,25,12,22,17,15
1,17,19,7,25,16,1
1,18,14,20,13,17,23
2,1,1,2,17,6,24
2,2,18,3,7,21,13
2,3,8,26,9,11,25
2,4,16,5,15,23,10
2,5,22,20,12,4,14
2,6,23,25,2,6,19
2,7,4,13,9,1,18
2,8,7,3,20,12,16
2,9,11,26,15,22,24
2,10,8,10,17,19,21
2,11,3,9,5,2,14
2,12,17,16,4,11,6
2,13,26,15,18,20,5
2,14,7,6,21,14,8
2,15,10,24,25,22,13
2,16,12,23,1,26,8
2,17,15,11,19,9,7
2,18,21,5,10,24,4
3,1,20,10,6,12,1
3,2,9,22,16,2,21
3,3,15,18,14,25,3
3,4,13,23,4,7,11
3,5,24,9,8,3,20
3,6,6,21,26,5,25
3,7,15,4,16,1,17
3,8,19,2,5,8,12
3,9,3,11,19,18,17
3,10,10,14,7,26,22
3,11,23,13,24,9,17
3,12,5,8,3,4,6
3,13,25,1,2,18,11
3,14,21,12,26,14,19
3,15,22,7,24,16,5
3,16,2,10,13,15,20
3,17,14,9,23,6,16
3,18,18,4,12,10,25
4,1,3,15,6,10,7
4,2,9,24,20,19,4
4,3,1,21,11,22,23
4,4,12,3,25,24,2
4,5,26,16,13,8,18
4,6,7,11,6,9,12
4,7,5,19,1,15,23
4,8,18,17,21,8,22
4,9,25,7,4,20,26
4,10,6,14,22,13,2
4,11,17,26,9,10,3
4,12,20,1,11,24,8
4,13,23,2,18,4,21
4,14,14,5,12,11,17
4,15,10,25,8,19,16
4,16,13,6,18,5,24
4,17,2,17,1,7,26
4,18,25,12,14,16,15
5,1,19,3,24,21,15
5,2,1,13,4,12,14
5,3,23,20,22,26,9
5,4,18,8,2,7,15
5,5,10,16,5,3,1
5,6,21,19,25,13,22
5,7,8,23,11,17,6
5,8,16,18,7,4,9
5,9,21,25,5,14,20
5,10,11,6,19,24,10
5,11,8,22,3,1,13
5,12,26,24,15,12,18
5,13,5,23,17,25,7
5,14,9,8,10,2,14
5,15,12,16,17,20,13
5,16,4,1,6,18,19
5,17,3,2,22,23,26
5,18,20,21,15,11,10
6,1,22,12,3,6,5
6,2,1,9,21,26,13
6,3,14,17,19,22,18
6,4,15,4,8,5,23
6,5,11,25,24,16,2
6,6,7,5,13,9,19
6,7,11,10,18,23,3
6,8,24,17,14,15,1
6,9,2,26,16,19,4
6,10,21,8,12,25,6
6,11,24,14,23,7,20
6,12,4,22,10,11,15
6,13,17,2,20,3,21
6,14,8,7,26,13,11
6,15,16,12,2,9,22
6,16,6,18,26,20,5
6,17,17,19,3,23,4
6,18,13,20,1,25,10
7,1,20,19,12,10,7
7,2,13,6,17,15,24
7,3,26,1,23,21,16
7,4,14,18,2,5,11
7,5,20,3,9,8,25
7,6,7,21,22,17,4
7,7,19,23,15,14,8
7,8,22,10,16,6,9
7,9,2,13,25,5,11
7,10,12,24,4,3,26
7,11,18,15,9,21,1
7,12,5,24,8,22,16
7,13,19,11,20,26,6
7,14,10,4,13,2,24
7,15,3,7,14,1,25
7,16,23,18,10,16,17
7,17,6,15,7,12,2
7,18,4,11,5,14,21
8,1,24,26,17,25,9
8,2,6,14,4,10,8
8,3,19,22,1,20,2
8,4,12,17,13,15,8
8,5,22,3,18,24,1
8,6,23,2,16,13,14
8,7,15,22,11,9,12
8,8,1,14,26,5,10
8,9,16,11,18,8,17
8,10,25,9,6,4,23
8,11,3,16,21,19,13
8,12,7,20,5,4,8
8,13,18,25,23,21,12
8,14,15,20,11,16,3
8,15,10,7,24,2,21
8,16,25,6,15,22,26
8,17,9,5,10,17,19
8,18,24,23,7,18,20
9,1,10,1,19,18,25
9,2,17,26,11,3,4
9,3,8,9,21,24,14
9,4,2,19,25,7,15
9,5,18,16,20,1,6
9,6,21,13,22,10,3
9,7,9,12,14,11,7
9,8,4,5,15,26,16
9,9,19,8,22,20,23
9,10,17,25,2,6,24
9,11,13,1,23,12,5
9,12,15,4,9,20,21
9,13,11,24,25,16,14
9,14,5,17,2,22,18
9,15,12,10,8,23,26
9,16,14,13,3,7,6
9,17,4,11,1,2,22
9,18,16,21,12,17,19
10,1,3,12,5,9,18
10,2,21,6,11,13,23
10,3,2,4,26,25,12
10,4,7,22,17,1,9
10,5,23,15,14,3,20
10,6,26,5,10,24,21
10,7,9,8,3,2,19
10,8,16,15,13,25,7
10,9,8,3,1,12,24
10,10,14,26,19,13,18
10,11,6,20,10,17,4
10,12,25,14,8,11,22
10,13,20,23,24,19,2
10,14,22,7,18,4,16
10,15,11,21,5,15,1
10,16,26,16,6,14,17
10,17,13,18,12,20,10
10,18,6,19,9,24,5
11,1,9,23,26,13,1
11,2,17,3,21,25,20
11,3,12,19,16,5,7
11,4,2,15,8,6,10
11,5,24,14,22,23,11
11,6,8,25,4,18,13
11,7,5,17,7,26,3
11,8,16,1,20,14,9
11,9,22,24,19,4,15
11,10,18,2,21,6,12
11,11,19,10,9,11,13
11,12,25,5,14,15,2
11,13,23,7,6,21,3
11,14,1,4,17,8,12
11,15,11,26,18,20,22
11,16,24,10,16,23,25
11,17,21,9,4,18,14
11,18,20,8,1,7,24
12,1,13,24,5,17,15
12,2,1,2,3,4,19
12,3,5,22,23,8,26
12,4,3,12,24,18,11
12,5,8,20,2,26,13
12,6,1,6,25,9,15
12,7,14,10,13,22,17
12,8,21,8,19,3,16
12,9,2,18,15,7,23
12,10,22,6,20,12,16
12,11,7,9,10,11,4
12,12,1,21,26,19,14
12,13,18,25,9,17,8
12,14,4,13,24,16,5
12,15,14,23,12,10,6
12,16,26,11,7,21,25
12,17,15,9,2,3,22
12,18,10,20,25,1,5
13,1,23,16,1,2,11
13,2,24,26,12,15,21
13,3,10,5,6,22,8
13,4,3,4,13,20,25
13,5,11,17,15,8,18
13,6,19,22,7,23,25
13,7,21,12,17,1,2
13,8,26,3,16,9,10
13,9,13,12,15,4,14
13,10,20,21,8,16,7
13,11,5,18,23,9,24
13,12,25,13,19,6,11
13,13,3,14,2,26,20
13,14,7,1,6,10,24
13,15,15,16,20,17,23
13,16,9,13,21,12,22
13,17,6,11,4,5,3
13,18,17,7,18,14,19
14,1,26,10,18,15,19
14,2,22,14,4,23,3
14,3,8,24,21,25,16
14,4,9,2,11,5,20
14,5,7,1,26,13,6
14,6,12,19,3,11,17
14,7,10,15,22,21,26
14,8,17,25,14,24,1
14,9,4,9,7,12,8
14,10,16,18,10,2,6
14,11,15,5,3,13,23
14,12,20,22,24,19,6
14,13,4,2,9,21,17
14,14,12,23,1,8,11
14,15,14,21,5,18,20
14,16,16,26,23,25,9
14,17,11,7,13,24,2
14,18,6,15,8,19,14
15,1,24,6,17,26,4
15,2,13,19,14,9,7
15,3,5,22,16,1,12
15,4,25,4,10,3,18
15,5,2,8,23,19,26
15,6,11,15,6,20,9
15,7,18,7,25,22,5
15,8,19,3,16,1,15
15,9,13,17,20,23,21
15,10,12,24,7,3,8
15,11,2,16,11,14,21
15,12,19,20,12,10,4
15,13,15,17,22,7,26
15,14,25,5,2,6,12
15,15,26,4,13,16,18
15,16,5,11,17,21,10
15,17,23,9,18,24,1
15,18,8,14,22,10,13
16,1,3,13,8,15,2
16,2,25,20,26,11,22
16,3,21,23,4,6,1
16,4,5,17,19,13,9
16,5,24,26,14,16,12
16,6,18,10,6,7,3
16,7,4,1,15,19,25
16,8,20,8,9,5,16
16,9,22,18,24,21,2
16,10,17,12,11,23,10
16,11,14,2,4,7,5
16,12,8,11,1,18,13
16,13,23,6,3,22,16
16,14,26,19,12,9,24
16,15,20,1,7,14,17
16,16,10,25,21,2,23
16,17,7,16,10,11,15
16,18,9,3,25,17,14
17,1,21,13,24,3,6
17,2,4,23,5,11,19
17,3,1,10,9,2,22
17,4,18,14,15,12,20
17,5,10,7,11,26,3
17,6,13,25,8,16,17
17,7,7,9,23,15,21
17,8,6,8,19,26,18
17,9,24,11,25,12,20
17,10,2,26,1,3,5
17,11,16,19,17,4,22
17,12,6,21,14,8,10
17,13,2,24,20,4,15
17,14,22,12,5,1,13
17,15,9,14,16,6,18
17,16,19,20,21,13,7
17,17,15,10,23,14,25
17,18,1,2,12,17,7
18,1,9,4,10,8,24
18,2,11,13,22,25,21
18,3,19,12,3,18,23
18,4,14,16,1,24,7
18,5,17,6,2,20,26
18,6,15,21,16,5,4
18,7,3,2,13,12,9
18,8,7,18,6,22,25
18,9,1,15,26,8,11
18,10,17,5,14,19,3
18,11,8,20,7,4,23
18,12,16,24,13,11,19
18,13,5,18,20,10,1
18,14,12,22,15,6,9
18,15,25,21,26,5,8
18,16,23,17,2,24,10
18,17,26,11,18,14,4
18,18,12,3,21,16,10
19,1,24,15,22,17,3
19,2,18,19,8,21,2
19,3,6,5,20,23,13
19,4,4,25,1,26,12
19,5,22,9,2,16,14
19,6,5,7,24,18,11
19,7,20,3,11,9,25
19,8,10,21,19,13,1
19,9,3,23,25,24,5
19,10,9,4,17,6,8
19,11,16,10,12,7,23
19,12,19,25,18,17,15
19,13,21,4,24,20,22
19,14,1,8,3,14,6
19,15,16,26,5,2,12
19,16,14,22,7,10,19
19,17,23,26,9,15,13
19,18,11,6,4,1,16
20,1,13,18,21,9,26
20,2,2,11,23,14,4
20,3,7,19,5,6,15
20,4,8,12,20,22,17
20,5,25,3,16,26,1
20,6,15,13,14,10,24
20,7,11,3,8,22,7
20,8,23,1,21,18,17
20,9,20,8,19,2,16
20,10,18,6,4,12,24
20,11,22,9,10,25,5
20,12,21,1,3,15,20
20,13,26,24,9,19,11
20,14,12,17,6,25,14
20,15,13,16,18,15,20
20,16,6,23,26,4,22
20,17,8,5,14,21,11
20,18,10,7,17,2,13
21,1,1,22,25,8,19
21,2,11,13,12,2,6
21,3,17,26,10,24,8
21,4,19,6,16,3,9
21,5,14,20,23,7,26
21,6,21,10,15,4,12
21,7,3,2,22,13,18
21,8,5,15,9,23,8
21,9,17,16,11,18,6
21,10,4,25,13,20,10
21,11,24,21,7,1,9
21,12,25,14,12,23,19
21,13,3,4,17,16,5
21,14,24,20,18,1,2
21,15,7,5,25,13,26
21,16,6,15,11,22,21
21,17,10,8,2,7,4
21,18,14,22,24,5,18
22,1,6,21,26,5,17
22,2,12,18,15,3,7
22,3,10,11,19,9,1
22,4,13,23,22,20,16
22,5,14,2,3,4,25
22,6,20,19,5,10,24
22,7,22,7,1,21,17
22,8,2,18,6,26,23
22,9,15,24,8,25,16
22,10,9,12,4,17,13
22,11,25,16,10,18,3
22,12,26,14,20,12,21
22,13,4,1,13,19,22
22,14,7,17,6,11,20
22,15,9,2,15,5,14
22,16,18,12,26,10,8
22,17,16,9,21,25,7
22,18,23,11,24,8,3
23,1,4,26,8,22,15
23,2,24,13,14,16,23
23,3,8,7,11,25,18
23,4,5,1,20,10,2
23,5,17,23,26,19,15
23,6,13,25,24,8,6
23,7,18,4,10,9,14
23,8,22,12,16,19,2
23,9,21,17,3,24,15
23,10,23,1,5,11,12
23,11,20,3,22,9,26
23,12,7,19,4,21,23
23,13,11,22,17,14,10
23,14,1,5,18,3,13
23,15,2,6,25,12,21
23,16,26,10,19,7,24
23,17,16,9,17,20,11
23,18,15,14,13,6,1
24,1,19,21,7,3,11
24,2,1,24,9,23,6
24,3,22,17,12,18,5
24,4,3,14,21,4,8
24,5,19,11,2,20,15
24,6,13,26,3,23,10
24,7,16,7,1,4,25
24,8,2,20,9,26,14
24,9,25,13,12,17,19
24,10,15,6,18,7,9
24,11,12,24,22,11,4
24,12,26,15,16,1,10
24,13,8,2,23,17,18
24,14,3,20,6,5,19
24,15,12,25,23,15,22
24,16,21,8,16,13,5
24,17,17,14,1,2,24
24,18,20,10,25,8,9
25,1,20,4,2,5,7
25,2,14,11,19,13,26
25,3,23,6,18,16,21
25,4,25,24,17,15,4
25,5,9,19,8,12,1
25,6,23,10,22,3,2
25,7,7,9,13,17,25
25,8,24,22,20,21,18
25,9,14,8,10,11,16
25,10,12,5,15,7,20
25,11,4,3,6,26,1
25,12,19,18,5,14,21
25,13,11,16,9,22,26
25,14,6,8,13,24,2
25,15,5,25,23,1,17
25,16,10,15,11,12,3
25,17,6,13,14,7,22
25,18,18,23,4,9,19
26,1,21,19,25,2,9
26,2,4,18,11,13,20
26,3,24,26,7,16,12
26,4,1,15,14,8,3
26,5,22,5,19,6,10
26,6,21,7,2,11,23
26,7,18,20,1,14,25
26,8,5,9,3,24,4
26,9,8,12,20,23,17
26,10,15,16,24,19,13
26,11,17,4,21,10,1
26,12,11,5,26,6,25
26,13,3,17,2,20,16
26,14,10,6,12,9,14
26,15,2,26,15,25,18
26,16,3,1,7,22,8
26,17,26,21,12,13,17
26,18,16,23,8,22,5
27,1,9,24,23,1,11
27,2,19,3,17,26,18
27,3,13,2,8,15,7
27,4,20,25,10,6,24
27,5,14,16,4,21,5
27,6,15,22,1,18,12
27,7,7,4,20,23,6
27,8,22,3,25,14,19
27,9,16,8,10,17,13
27,10,11,12,5,2,9
27,11,8,22,26,21,20
27,12,3,23,14,15,6
27,13,12,13,11,25,4
27,14,26,17,5,24,7
27,15,18,9,21,10,15
27,16,1,2,4,19,16
27,17,24,21,3,12,14
27,18,5,18,9,7,13
28,1,12,8,19,20,1
28,2,7,14,26,4,3
28,3,17,11,21,6,15
28,4,2,22,18,16,24
28,5,9,1,5,26,12
28,6,8,15,4,18,11
28,7,26,19,6,24,2
28,8,23,10,15,5,16
28,9,17,14,20,8,9
28,10,25,21,13,1,23
28,11,16,17,7,12,22
28,12,2,10,24,5,8
28,13,6,1,13,3,11
28,14,4,23,22,19,25
28,15,14,20,15,18,26
28,16,10,7,25,2,21
28,17,13,22,9,20,3
28,18,21,12,16,4,6
29,1,18,25,6,8,5
29,2,15,16,1,19,7
29,3,24,3,12,21,20
29,4,10,13,4,22,26
29,5,11,23,2,14,17
29,6,19,6,9,8,21
29,7,22,5,14,16,3
29,8,20,1,17,10,4
29,9,13,18,7,23,12
29,10,24,15,11,9,25
29,11,1,26,6,2,22
29,12,10,11,23,3,19
29,13,9,7,18,16,24
29,14,25,20,8,26,23
29,15,14,2,13,15,12
29,16,26,16,5,11,21
29,17,20,24,19,13,14
29,18,5,4,22,17,15
30,1,21,3,20,23,18
30,2,16,4,7,6,8
30,3,1,18,24,22,11
30,4,5,19,15,13,20
30,5,7,14,3,25,8
30,6,4,9,22,21,24
30,7,18,12,19,17,10
30,8,23,26,24,1,14
30,9,25,11,16,20,10
30,10,6,17,15,4,2
30,11,13,25,26,21,5
30,12,23,7,12,19,6
30,13,3,13,11,1,18
30,14,22,15,21,5,14
30,15,17,19,25,26,16
30,16,12,9,8,10,2
30,17,6,20,1,15,16
30,18,9,2,23,3,17
31,1,2,21,19,11,22
31,2,15,24,10,13,23
31,3,17,8,5,7,1
31,4,9,16,25,18,14
31,5,11,20,12,4,26
31,6,25,13,17,6,22
31,7,15,9,3,7,26
31,8,10,1,21,23,8
31,9,5,6,2,24,3
31,10,19,21,18,14,4
31,11,1,2,16,9,13
31,12,11,17,14,24,7
31,13,16,12,4,3,25
31,14,23,6,20,22,9
31,15,8,5,24,12,19
31,16,18,10,26,2,7
31,17,4,15,8,25,13
31,18,20,5,16,11,23
32,1,21,26,16,1,15
32,2,8,11,17,18,3
32,3,25,24,22,20,15
32,4,23,10,9,5,4
32,5,2,21,13,16,11
32,6,14,7,10,22,20
32,7,4,19,2,15,24
32,8,22,8,13,17,9
32,9,16,18,6,19,10
32,10,20,3,4,2,5
32,11,7,22,23,12,11
32,12,3,25,24,10,21
32,13,26,13,14,8,6
32,14,19,25,7,5,1
32,15,6,12,20,9,21
32,16,24,23,18,26,17
32,17,12,14,1,25,2
32,18,13,4,18,23,8
33,1,22,26,21,9,19
33,2,14,10,1,20,17
33,3,15,23,25,7,9
33,4,3,24,13,16,20
33,5,11,2,26,4,25
33,6,5,18,10,12,13
33,7,8,22,15,1,11
33,8,17,6,7,21,3
33,9,9,16,19,14,23
33,10,13,20,2,18,22
33,11,19,8,3,26,12
33,12,10,11,6,14,5
33,13,24,17,4,1,16
33,14,21,7,23,8,2
33,15,18,1,5,25,6
33,16,26,15,3,10,17
33,17,7,4,11,13,9
33,18,6,16,8,24,12
34,1,12,20,9,26,4
34,2,7,24,20,19,18
34,3,2,3,9,10,1
34,4,23,14,22,6,26
34,5,5,9,11,17,19
34,6,1,13,16,12,7
34,7,8,22,24,25,10
34,8,20,5,23,15,17
34,9,4,18,26,2,8
34,10,25,3,12,11,6
34,11,16,19,17,13,21
34,12,2,7,5,14,24
34,13,6,10,1,22,4
34,14,18,9,8,3,15
34,15,21,25,14,23,13
34,16,26,19,11,20,16
34,17,12,15,21,4,14
34,18,24,23,18,11,1
35,1,3,5,22,16,2
35,2,15,6,25,7,19
35,3,1,14,11,8,20
35,4,4,12,23,18,22
35,5,21,1,20,24,6
35,6,4,7,19,3,10
35,7,17,2,9,6,25
35,8,8,11,15,21,16
35,9,26,1,7,9,24
35,10,19,23,14,2,12
35,11,11,21,10,25,18
35,12,13,4,6,24,5
35,13,22,20,2,15,7
35,14,9,17,14,18,21
35,15,1,26,12,15,5
35,16,10,13,3,16,23
35,17,19,8,17,5,22
35,18,13,12,24,10,26
36,1,14,16,18,4,25
36,2,6,26,13,7,3
36,3,5,15,10,21,9
