Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,11,23,24,10,9
1,2,18,2,14,7,21
1,3,15,5,12,3,1
1,4,20,16,17,19,4
1,5,13,22,6,9,8
1,6,23,18,3,4,22
1,7,5,17,13,24,14
1,8,10,8,16,21,15
1,9,22,11,2,20,12
1,10,19,7,23,1,6
1,11,6,20,5,18,10
1,12,9,3,11,17,7
1,13,2,19,4,13,15
1,14,16,6,21,12,24
1,15,8,14,20,18,1
1,16,7,13,22,16,5
1,17,4,15,9,14,12
1,18,3,24,1,2,8
2,1,20,1,9,23,16
2,2,11,4,5,8,21
2,3,12,19,10,13,3
2,4,22,6,2,15,17
2,5,14,16,24,11,18
2,6,7,17,8,12,23
2,7,21,1,18,9,13
2,8,14,10,7,22,19
2,9,6,24,4,3,20
2,10,18,5,15,23,2
2,11,1,21,19,22,11
2,12,17,18,12,4,7
2,13,13,11,15,6,20
2,14,24,9,8,5,19
2,15,4,10,16,1,2
2,16,21,23,3,14,13
2,17,15,22,10,17,24
2,18,16,12,14,6,3
3,1,17,7,21,20,1
3,2,12,8,11,19,18
3,3,9,2,16,3,5
3,4,24,7,13,15,23
3,5,6,14,4,10,22
3,6,20,9,19,21,15
3,7,8,13,23,16,17
3,8,2,12,24,22,18
3,9,5,1,10,14,11
3,10,19,3,6,18,17
3,11,4,12,21,5,23
3,12,13,20,1,24,10
3,13,3,15,8,11,14
3,14,9,4,2,7,6
3,15,23,11,17,22,16
3,16,10,13,18,12,9
3,17,24,15,7,16,19
3,18,1,3,22,8,4
4,1,7,8,15,10,11
4,2,14,5,22,9,19
4,3,4,24,13,2,21
4,4,11,3,7,20,12
4,5,18,16,1,15,6
4,6,12,9,14,17,24
4,7,22,21,20,6,8
4,8,19,23,5,10,7
4,9,1,17,13,11,4
4,10,8,14,20,23,2
4,11,3,18,19,15,16
4,12,23,6,11,2,9
4,13,21,22,18,24,3
4,14,2,7,17,8,10
4,15,5,12,6,13,20
4,16,15,4,16,9,1
4,17,17,10,3,21,5
4,18,14,19,23,4,13
5,1,16,2,9,13,8
5,2,5,18,4,11,20
5,3,17,21,14,6,15
5,4,1,23,12,19,2
5,5,7,10,22,3,9
5,6,24,19,11,17,6
5,7,16,1,12,5,22
5,8,3,20,23,24,8
5,9,10,13,7,18,4
5,10,19,17,2,1,14
5,11,23,15,21,20,22
5,12,6,5,8,7,24
5,13,2,11,3,21,13
5,14,12,16,15,5,10
5,15,18,20,9,23,17
5,16,10,24,6,1,14
5,17,8,9,19,12,21
5,18,11,4,16,7,14
6,1,2,20,21,16,10
6,2,13,22,7,11,1
6,3,15,17,9,3,5
6,4,6,12,20,14,23
6,5,22,8,24,4,18
6,6,20,2,5,19,7
6,7,21,18,1,9,6
6,8,15,13,17,8,12
6,9,23,24,19,16,11
6,10,3,21,14,4,5
6,11,18,23,10,2,17
6,12,9,14,4,12,7
6,13,8,11,6,10,5
6,14,7,15,1,21,24
6,15,16,19,22,13,3
6,16,24,9,12,2,11
6,17,20,8,18,14,16
6,18,4,6,15,22,23
7,1,22,14,2,6,16
7,2,1,5,17,13,18
7,3,20,7,3,15,2
7,4,19,10,8,21,4
7,5,13,14,15,18,11
7,6,12,21,5,23,22
7,7,17,4,20,24,16
7,8,7,6,18,19,3
7,9,10,1,23,12,9
7,10,5,2,24,4,15
7,11,21,16,11,7,8
7,12,6,23,10,3,13
7,13,9,22,19,17,20
7,14,14,24,1,8,12
7,15,23,7,16,5,18
7,16,11,14,2,17,21
7,17,4,3,24,1,19
