Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,11,12,28,8,3
1,2,21,10,14,16,5
1,3,9,4,26,13,24
1,4,27,19,6,1,20
1,5,15,18,3,2,22
1,6,17,23,29,7,25
1,7,1,8,5,18,13
1,8,24,16,27,28,25
1,9,26,2,7,11,10
1,10,29,9,19,15,14
1,11,23,22,4,20,21
1,12,16,6,2,17,12
1,13,20,26,25,14,18
1,14,19,24,11,5,23
1,15,10,17,15,4,28
1,16,13,3,21,29,27
1,17,12,7,22,9,1
1,18,8,14,23,6,15
2,1,4,25,13,22,16
2,2,20,9,8,10,29
2,3,26,5,23,3,6
2,4,25,15,12,1,21
2,5,22,11,14,27,17
2,6,2,24,18,29,4
2,7,19,15,16,7,13
2,8,14,1,10,24,3
2,9,6,11,9,25,2
2,10,7,18,20,28,23
2,11,5,26,15,12,27
2,12,22,21,17,19,8
2,13,4,29,1,16,11
2,14,18,13,12,23,10
2,15,6,27,24,8,7
2,16,14,28,2,21,19
2,17,3,20,17,5,9
2,18,28,29,6,22,26
3,1,14,7,28,4,5
3,2,25,27,19,10,3
3,3,9,21,18,26,16
3,4,15,20,11,13,6
3,5,27,4,7,12,14
3,6,29,17,5,15,24
3,7,1,28,26,9,8
3,8,16,12,22,24,20
3,9,10,19,4,18,6
3,10,8,16,27,23,2
3,11,11,21,24,17,18
3,12,12,5,29,19,25
3,13,17,23,13,1,2
3,14,7,3,21,6,29
3,15,23,22,9,27,15
3,16,28,25,13,14,8
3,17,3,1,16,11,26
3,18,5,10,20,2,22
4,1,15,17,27,26,4
4,2,13,9,11,5,28
4,3,29,6,22,21,27
4,4,18,8,15,3,4
4,5,24,23,10,14,16
4,6,7,17,25,26,1
4,7,2,27,9,28,18
4,8,10,13,8,29,12
4,9,3,24,1,22,19
4,10,4,20,25,21,11
4,11,17,6,5,16,7
4,12,2,12,26,19,20
4,13,13,22,6,18,14
4,14,19,29,28,23,1
4,15,21,15,7,10,11
4,16,16,28,3,20,17
4,17,5,2,8,25,24
4,18,23,14,3,12,9
5,1,11,4,27,5,23
5,2,28,25,10,15,22
5,3,6,1,4,12,21
5,4,20,7,24,9,13
5,5,2,29,14,3,26
5,6,18,19,12,11,17
5,7,9,5,16,6,15
5,8,27,10,17,14,1
5,9,21,13,2,24,28
5,10,26,8,19,16,23
5,11,25,3,20,27,18
5,12,8,11,22,7,29
5,13,24,15,12,2,28
5,14,4,14,8,17,20
5,15,25,6,23,10,9
5,16,22,26,21,8,5
5,17,19,3,13,4,7
5,18,1,18,16,20,29
6,1,1,2,28,6,4
6,2,26,13,10,27,20
6,3,9,21,17,23,19
6,4,29,16,14,13,11
6,5,18,2,7,1,5
6,6,3,9,4,22,12
6,7,6,26,25,24,8
6,8,7,20,21,15,14
6,9,22,10,19,28,11
6,10,12,8,27,18,16
6,11,29,23,1,25,15
6,12,17,5,24,13,3
6,13,20,28,23,6,12
6,14,11,25,14,2,9
6,15,15,19,18,26,24
6,16,21,7,3,8,10
6,17,12,16,29,4,5
6,18,27,22,26,17,13
7,1,8,11,15,20,19
7,2,10,1,9,24,27
7,3,14,18,11,26,6
7,4,13,23,8,12,17
7,5,16,28,5,3,21
7,6,7,4,2,19,25
7,7,24,14,20,1,22
7,8,9,10,18,29,17
7,9,23,13,2,21,15
7,10,24,12,6,11,3
7,11,28,27,26,7,29
7,12,4,8,1,9,21
7,13,22,16,5,25,7
7,14,20,24,29,4,2
7,15,6,19,12,13,25
7,16,15,16,23,3,26
7,17,17,2,28,18,22
7,18,5,14,19,27,10
8,1,28,26,4,23,24
8,2,10,6,21,25,17
8,3,12,7,9,14,18
8,4,27,19,29,16,2
8,5,11,4,22,10,23
8,6,13,20,15,5,1
8,7,21,23,24,7,18
8,8,16,12,10,9,26
8,9,2,25,3,8,29
8,10,12,21,1,11,27
8,11,14,29,6,15,28
8,12,20,17,3,19,9
8,13,5,22,13,18,25
8,14,8,15,11,2,10
8,15,19,1,22,21,26
8,16,14,24,16,17,6
8,17,8,27,20,28,7
8,18,1,3,5,13,4
9,1,5,28,10,17,12
9,2,19,4,9,8,16
9,3,18,25,17,15,1
9,4,26,20,11,5,2
9,5,29,24,7,10,12
9,6,3,18,21,27,28
9,7,6,9,2,22,15
9,8,5,8,7,24,19
9,9,1,11,16,28,13
9,10,25,3,6,20,10
9,11,26,17,12,14,4
9,12,18,5,23,29,21
9,13,24,27,25,11,9
9,14,22,1,3,23,8
9,15,16,21,19,2,14
9,16,13,26,20,10,29
9,17,15,6,27,12,4
9,18,23,7,13,22,14
10,1,14,5,8,20,11
10,2,4,10,18,25,16
10,3,11,9,29,7,17
10,4,13,5,27,6,19
10,5,25,14,1,24,23
10,6,7,26,15,3,21
10,7,23,22,16,29,20
10,8,11,28,18,9,19
10,9,12,20,22,21,24
10,10,10,6,18,1,8
10,11,27,2,14,23,3
10,12,21,12,25,9,13
10,13,7,8,17,4,6
10,14,2,15,10,19,22
10,15,28,25,26,1,12
