Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,18,4,7,11,20
1,2,5,14,22,10,12
1,3,9,21,1,13,16
1,4,25,26,17,2,6
1,5,24,19,8,15,23
1,6,16,20,14,26,3
1,7,21,11,10,19,2
1,8,7,8,13,22,17
1,9,15,5,4,1,6
1,10,23,9,18,12,3
1,11,14,7,25,24,21
1,12,19,17,5,16,18
1,13,20,22,15,2,9
1,14,6,3,12,8,1
1,15,10,23,16,4,25
1,16,26,24,13,5,11
1,17,22,18,21,6,23
1,18,4,25,19,9,8
2,1,17,1,11,23,14
2,2,5,2,3,7,21
2,3,12,24,6,20,19
2,4,15,13,26,18,10
2,5,8,16,1,25,22
2,6,12,14,2,4,13
2,7,6,26,9,10,7
2,8,17,5,20,8,21
2,9,22,4,3,24,19
2,10,11,12,15,16,25
2,11,8,2,14,18,9
2,12,1,23,26,19,7
2,13,13,10,25,3,20
2,14,16,6,24,14,15
2,15,11,8,10,22,26
2,16,3,15,17,21,4
2,17,13,18,23,25,5
2,18,2,1,9,17,24
3,1,23,20,2,7,16
3,2,3,25,11,5,9
3,3,1,22,18,10,24
3,4,26,17,12,21,4
3,5,14,19,13,11,6
3,6,7,12,20,15,1
3,7,2,3,8,12,22
3,8,23,15,14,26,5
3,9,19,9,21,20,13
3,10,7,10,16,6,17
3,11,4,18,24,11,8
3,12,25,21,22,26,14
3,13,15,13,6,8,2
3,14,18,25,5,1,19
3,15,9,7,4,16,22
3,16,10,17,23,24,3
3,17,2,16,19,12,26
3,18,20,6,18,3,11
4,1,9,10,19,14,15
4,2,13,3,26,4,1
4,3,11,12,25,7,17
4,4,24,16,8,20,5
4,5,21,6,2,23,18
4,6,14,22,17,20,4
4,7,1,11,15,2,10
4,8,24,21,23,13,12
4,9,5,26,6,9,8
4,10,16,7,3,18,19
4,11,25,2,24,17,15
4,12,22,11,9,23,20
4,13,21,14,7,1,8
4,14,4,5,18,12,10
4,15,21,13,16,15,11
4,16,26,24,7,3,5
4,17,6,20,1,25,4
4,18,17,19,22,13,18
5,1,18,9,12,17,15
5,2,11,4,23,2,7
5,3,3,15,5,14,22
