Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,27,11,1,15,13
1,2,8,24,7,26,4
1,3,23,14,9,6,21
1,4,16,2,12,3,17
1,5,10,28,20,25,5
1,6,22,13,8,18,19
1,7,2,23,10,11,26
1,8,25,21,12,7,27
1,9,18,1,5,16,14
1,10,19,15,6,4,3
1,11,24,9,17,20,22
1,12,14,8,28,27,2
1,13,20,16,26,19,23
1,14,6,10,22,1,7
1,15,21,3,24,5,11
1,16,28,4,13,9,12
1,17,26,18,15,17,25
1,18,4,22,16,25,11
2,1,14,20,10,12,15
2,2,28,17,8,21,1
2,3,27,7,19,5,9
2,4,2,6,25,13,24
2,5,3,26,18,23,22
2,6,17,7,11,14,4
2,7,15,8,9,10,16
2,8,11,19,24,28,18
2,9,5,26,6,12,13
2,10,25,27,3,1,23
2,11,21,4,18,2,20
2,12,9,28,26,7,16
2,13,20,11,3,8,6
2,14,24,15,14,22,28
2,15,23,5,4,17,27
2,16,1,12,2,19,9
2,17,13,16,21,22,10
2,18,12,25,23,24,8
3,1,15,5,23,28,2
3,2,6,24,27,17,10
3,3,9,14,19,3,25
3,4,7,20,13,23,15
3,5,8,2,21,22,5
3,6,26,10,14,4,1
3,7,7,18,27,16,6
3,8,17,19,15,13,21
3,9,18,1,11,9,12
3,10,20,21,27,26,28
3,11,16,13,3,8,14
3,12,22,27,25,11,12
3,13,1,7,20,24,2
3,14,3,6,28,10,19
3,15,5,9,4,18,8
3,16,12,23,16,24,17
3,17,4,22,7,25,3
3,18,13,17,11,2,26
4,1,6,21,10,15,18
4,2,1,25,17,20,8
4,3,12,22,26,5,14
4,4,4,24,19,27,16
4,5,11,9,23,21,7
4,6,8,26,18,14,25
4,7,9,27,2,20,22
4,8,24,16,25,13,11
4,9,28,12,4,6,20
4,10,3,15,7,2,5
4,11,19,23,17,14,10
4,12,18,3,1,13,28
4,13,10,19,8,27,11
4,14,26,3,6,17,9
4,15,13,12,5,7,21
4,16,15,1,22,4,23
4,17,16,25,2,28,6
4,18,10,4,13,9,24
5,1,22,2,21,4,19
5,2,23,13,27,26,18
5,3,11,25,20,19,9
5,4,7,10,16,12,18
5,5,5,9,15,8,4
5,6,14,13,22,20,17
5,7,8,28,1,23,6
5,8,21,26,12,15,24
5,9,2,11,14,3,10
5,10,19,8,28,7,13
5,11,16,5,24,1,20
5,12,27,6,9,22,15
5,13,17,18,25,2,7
5,14,3,14,24,21,27
5,15,1,19,15,16,26
5,16,28,17,11,6,5
5,17,23,20,4,12,3
5,18,25,21,5,10,1
6,1,19,1,12,27,17
6,2,9,7,14,26,25
6,3,24,23,10,18,2
6,4,21,16,17,1,4
6,5,6,18,20,14,11
6,6,5,12,28,19,22
6,7,15,23,6,25,13
6,8,17,22,7,8,10
6,9,27,4,16,28,18
6,10,20,15,26,11,21
6,11,13,24,1,3,9
6,12,2,6,5,14,19
6,13,12,3,8,27,15
6,14,22,11,23,16,28
6,15,4,5,13,2,26
6,16,18,20,21,10,3
