Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,9,20,25,7,17
1,2,14,1,10,23,13
1,3,8,16,6,3,2
1,4,11,5,12,18,19
1,5,15,24,4,21,22
1,6,20,19,14,24,6
1,7,1,22,18,8,25
1,8,23,15,17,12,3
1,9,4,7,5,13,16
1,10,10,21,2,9,11
1,11,18,2,15,20,5
1,12,24,11,13,17,8
1,13,16,9,22,23,14
1,14,25,3,19,4,10
1,15,7,12,21,6,1
1,16,5,4,14,2,17
1,17,13,8,9,19,15
1,18,12,18,24,10,16
2,1,3,20,11,1,4
2,2,19,23,7,8,21
2,3,17,10,6,9,18
2,4,13,2,25,22,12
2,5,21,14,16,15,20
2,6,3,9,24,5,1
2,7,6,13,4,18,23
2,8,19,25,1,16,15
2,9,24,18,3,2,7
2,10,17,6,19,5,22
2,11,2,11,23,14,19
2,12,6,24,21,15,25
2,13,20,4,16,12,9
2,14,22,10,7,11,15
2,15,17,1,13,21,2
2,16,5,8,20,25,10
2,17,16,17,23,11,24
2,18,14,7,8,4,12
3,1,14,18,17,3,21
3,2,2,12,15,1,8
3,3,22,23,10,5,21
3,4,25,6,11,9,14
3,5,4,19,16,24,7
3,6,21,22,20,13,3
3,7,1,14,9,7,18
3,8,2,25,24,20,23
3,9,11,15,5,7,6
3,10,9,3,12,19,13
3,11,8,17,1,16,10
3,12,15,23,3,6,4
3,13,12,5,22,14,24
3,14,4,21,2,10,19
3,15,18,16,13,25,11
3,16,7,17,20,19,1
3,17,8,4,18,22,9
3,18,10,13,12,6,20
4,1,25,3,23,7,5
4,2,20,11,8,12,21
4,3,1,22,6,2,16
4,4,7,10,3,8,14
4,5,23,20,19,22,18
4,6,12,25,11,17,4
4,7,15,14,10,24,13
4,8,21,16,9,5,3
4,9,22,15,17,18,7
4,10,24,9,13,1,5
4,11,9,8,2,23,6
4,12,18,1,4,21,11
4,13,19,25,15,17,14
4,14,13,7,2,16,20
4,15,23,12,21,1,25
4,16,5,6,8,4,24
4,17,11,2,14,3,22
4,18,16,19,18,10,12
5,1,10,11,15,20,9
5,2,7,12,17,23,24
5,3,3,13,8,25,22
5,4,14,5,1,19,6
5,5,23,18,15,2,4
5,6,21,16,3,10,17
5,7,6,24,22,11,19
5,8,18,20,5,14,8
5,9,2,1,11,7,10
5,10,6,13,12,15,3
5,11,1,22,20,4,17
