Version	Set	Item 1	Item 2	Item 3	Item 4	Item 5	Item 6
1	1	6	19	1	21	14	20
1	2	7	10	3	20	8	17
1	3	12	15	2	30	14	29
1	4	10	15	1	26	13	24
1	5	3	22	2	25	19	23
1	6	16	21	11	29	17	24
1	7	13	17	9	28	14	23
1	8	7	25	6	30	13	27
1	9	4	18	3	29	6	26
1	10	5	16	1	30	8	22
1	11	10	18	2	28	16	27
1	12	9	12	7	26	11	22
1	13	11	18	5	23	15	20
1	14	8	21	4	28	12	25
1	15	5	19	4	27	9	24
2	1	24	1	27	11	29	7
2	2	13	10	16	12	26	11
2	3	22	12	23	21	30	18
2	4	19	3	22	15	24	10
2	5	25	9	27	16	28	15
2	6	16	3	17	8	23	4
2	7	13	1	20	9	30	8
2	8	14	5	22	13	27	6
2	9	12	2	28	5	29	4
2	10	20	2	23	19	26	7
2	11	9	4	10	7	18	6
2	12	19	1	21	17	28	6
2	13	14	2	15	11	21	8
2	14	20	3	25	18	29	14
2	15	25	5	26	24	30	17
3	1	28	4	14	1	22	8
3	2	24	7	10	2	22	9
3	3	24	6	13	4	21	11
3	4	29	9	18	1	20	11
3	5	26	3	10	1	12	5
3	6	29	5	14	2	25	6
3	7	30	9	21	5	27	19
3	8	17	11	15	10	16	14
3	9	29	17	26	13	27	23
3	10	23	6	18	3	19	8
3	11	30	3	16	2	28	13
3	12	28	19	24	15	26	20
3	13	30	7	17	4	18	12
3	14	27	8	20	7	25	16
3	15	25	15	22	12	23	21
4	1	18	10	21	26	16	3
4	2	20	10	23	25	13	1
4	3	17	11	21	25	12	6
4	4	17	13	22	29	16	9
4	5	11	7	16	24	8	4
4	6	22	8	28	30	10	2
4	7	15	12	18	28	14	9
4	8	13	5	19	30	12	4
4	9	19	11	20	27	18	2
4	10	23	9	27	30	21	7
4	11	15	6	23	26	8	5
4	12	20	5	24	28	17	3
4	13	15	3	19	29	7	1
4	14	22	6	24	27	14	1
4	15	25	4	26	29	14	2
5	1	16	14	3	30	17	21
5	2	10	7	2	30	25	26
5	3	9	4	3	26	19	20
5	4	8	7	5	18	13	14
