Resp	Phase	City	CityN	Conf
100	1	Test	2	965
1000	1	Test	2	307
1001	1	Test	2	443
1002	1	Test	2	361
1003	1	Test	2	852
1004	1	Test	2	806
1005	1	Test	2	579
1006	1	Test	2	451
1007	1	Test	2	823
1008	1	Test	2	979
1009	1	Test	2	395
101	1	Test	2	339
1010	1	Test	2	005
1011	1	Test	2	881
1012	1	Test	2	438
1013	1	Test	2	615
1014	1	Test	2	475
1015	1	Test	2	586
1016	1	Test	2	906
1017	1	Test	2	559
1018	1	Test	2	235
1019	1	Test	2	823
102	1	Test	2	433
1020	1	Test	2	352
1021	1	Test	2	806
1022	1	Test	2	804
1023	1	Test	2	985
1024	1	Test	2	555
1025	1	Test	2	007
1026	1	Test	2	507
1027	1	Test	2	363
1028	1	Test	2	347
1029	1	Test	2	081
103	1	Test	2	565
1030	1	Test	2	354
1031	1	Test	2	013
1032	1	Test	2	813
1033	1	Test	2	321
1034	1	Test	2	532
1035	1	Test	2	487
1036	1	Test	2	062
1037	1	Test	2	344
1038	1	Test	2	773
1039	1	Test	2	292
104	1	Test	2	157
1040	1	Test	2	751
1041	1	Test	2	641
1042	1	Test	2	497
1043	1	Test	2	571
1044	1	Test	2	649
1045	1	Test	2	797
1046	1	Test	2	809
1047	1	Test	2	767
1048	1	Test	2	924
1049	1	Test	2	814
105	1	Test	2	297
1050	1	Test	2	367
1051	1	Test	2	436
1052	1	Test	2	147
1053	1	Test	2	714
1054	1	Test	2	445
1055	1	Test	2	387
1056	1	Test	2	248
1057	1	Test	2	042
1058	1	Test	2	019
1059	1	Test	2	315
106	1	Test	2	176
1060	1	Test	2	979
1061	1	Test	2	071
1062	1	Test	2	685
1063	1	Test	2	301
1064	1	Test	2	387
1065	1	Test	2	896
1066	1	Test	2	313
1067	1	Test	2	161
1068	1	Test	2	584
1069	1	Test	2	097
107	1	Test	2	231
1070	1	Test	2	463
1071	1	Test	2	906
1072	1	Test	2	075
1073	1	Test	2	911
1074	1	Test	2	853
1075	1	Test	2	431
1076	1	Test	2	337
1077	1	Test	2	617
1078	1	Test	2	782
1079	1	Test	2	227
108	1	Test	2	439
1080	1	Test	2	629
1081	1	Test	2	871
1082	1	Test	2	787
1083	1	Test	2	362
1084	1	Test	2	751
1085	1	Test	2	944
1086	1	Test	2	927
1087	1	Test	2	508
1088	1	Test	2	717
1089	1	Test	2	731
109	1	Test	2	237
1090	1	Test	2	106
1091	1	Test	2	292
1092	1	Test	2	492
1093	1	Test	2	941
1094	1	Test	2	426
